#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WP_012208588.1	403833.Pmob_0761	3.03e-83	246.0	COG0203@1|root,COG0203@2|Bacteria,2GD23@200918|Thermotogae	200918|Thermotogae	J	Ribosomal protein L17	rplQ	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015934,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904	-	ko:K02879	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L17
WP_012208812.1	403833.Pmob_0987	2.3e-169	476.0	COG1108@1|root,COG1108@2|Bacteria,2GCYV@200918|Thermotogae	200918|Thermotogae	P	transport system permease	-	GO:0005575,GO:0005623,GO:0005886,GO:0008150,GO:0010035,GO:0010038,GO:0010043,GO:0016020,GO:0042221,GO:0044464,GO:0050896,GO:0071944	-	ko:K09816	ko02010,map02010	M00242	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.15.3,3.A.1.15.5	-	-	ABC-3
WP_012208822.1	403833.Pmob_0997	3.39e-78	233.0	COG0736@1|root,COG0736@2|Bacteria,2GDHW@200918|Thermotogae	200918|Thermotogae	I	Transfers the 4'-phosphopantetheine moiety from coenzyme A to a Ser of acyl-carrier-protein	acpS	-	2.7.8.7	ko:K00997	ko00770,map00770	-	R01625	RC00002	ko00000,ko00001,ko01000	-	-	-	ACPS
WP_012208976.1	403833.Pmob_1157	1.62e-53	168.0	COG0234@1|root,COG0234@2|Bacteria,2GD7H@200918|Thermotogae	200918|Thermotogae	O	Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter	groS	GO:0003674,GO:0005488,GO:0005515,GO:0006457,GO:0006458,GO:0006950,GO:0006986,GO:0008150,GO:0009987,GO:0010033,GO:0035966,GO:0042221,GO:0043167,GO:0043169,GO:0046872,GO:0050896,GO:0051082,GO:0051084,GO:0051085,GO:0051087,GO:0061077	-	ko:K04078	-	-	-	-	ko00000,ko03029,ko03110	-	-	-	Cpn10
WP_012208998.1	403833.Pmob_1179	2.39e-198	551.0	COG0280@1|root,COG0280@2|Bacteria,2GC5U@200918|Thermotogae	200918|Thermotogae	C	PFAM Phosphate acetyl butaryl transferase	-	-	2.3.1.19	ko:K00634	ko00650,ko01100,map00650,map01100	-	R01174	RC00004,RC02816	ko00000,ko00001,ko01000	-	-	-	PTA_PTB
WP_012209001.1	403833.Pmob_1182	4.36e-264	722.0	COG2017@1|root,COG2017@2|Bacteria,2GC92@200918|Thermotogae	200918|Thermotogae	G	Converts alpha-aldose to the beta-anomer	-	-	5.1.3.3	ko:K01785	ko00010,ko00052,ko01100,ko01110,ko01120,ko01130,map00010,map00052,map01100,map01110,map01120,map01130	M00632	R01602,R10619	RC00563	ko00000,ko00001,ko00002,ko01000	-	-	iLJ478.TM0282	Aldose_epim
WP_012209003.1	403833.Pmob_1184	4.63e-101	292.0	COG2801@1|root,COG2801@2|Bacteria,2GCT7@200918|Thermotogae	200918|Thermotogae	L	PFAM Integrase catalytic region	-	-	-	-	-	-	-	-	-	-	-	-	HTH_21,rve
WP_012209090.1	443254.Marpi_1240	2.92e-11	60.1	2EP6M@1|root,33GTC@2|Bacteria,2GDME@200918|Thermotogae	200918|Thermotogae	S	Protein of unknown function (DUF2922)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2922
WP_012209281.1	403833.Pmob_1479	6.32e-293	800.0	COG1219@1|root,COG1219@2|Bacteria,2GC9Y@200918|Thermotogae	200918|Thermotogae	O	ATP-dependent specificity component of the Clp protease. It directs the protease to specific substrates. Can perform chaperone functions in the absence of ClpP	clpX	GO:0000166,GO:0003674,GO:0003824,GO:0004176,GO:0005488,GO:0005524,GO:0006508,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008233,GO:0009056,GO:0009057,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019538,GO:0030163,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0042623,GO:0043167,GO:0043168,GO:0043170,GO:0044238,GO:0051301,GO:0070011,GO:0071704,GO:0097159,GO:0097367,GO:0140096,GO:1901265,GO:1901363,GO:1901564,GO:1901565,GO:1901575	-	ko:K03544	ko04112,map04112	-	-	-	ko00000,ko00001,ko03110	-	-	-	AAA_2,ClpB_D2-small,zf-C4_ClpX
WP_012209286.1	403833.Pmob_1484	8.26e-116	331.0	COG0817@1|root,COG0817@2|Bacteria,2GD6C@200918|Thermotogae	200918|Thermotogae	L	Nuclease that resolves Holliday junction intermediates in genetic recombination. Cleaves the cruciform structure in supercoiled DNA by nicking to strands with the same polarity at sites symmetrically opposed at the junction in the homologous arms and leaves a 5'-terminal phosphate and a 3'-terminal hydroxyl group	ruvC	GO:0000725,GO:0003674,GO:0003824,GO:0004518,GO:0004519,GO:0004520,GO:0004536,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006281,GO:0006310,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008821,GO:0009058,GO:0009059,GO:0009987,GO:0016787,GO:0016788,GO:0016889,GO:0016894,GO:0031297,GO:0032991,GO:0033554,GO:0034641,GO:0034645,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0045005,GO:0046483,GO:0048476,GO:0050896,GO:0051716,GO:0071704,GO:0071932,GO:0090304,GO:0090305,GO:0140097,GO:1901360,GO:1901576	3.1.22.4	ko:K01159	ko03440,map03440	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	RuvC
WP_012209353.1	403833.Pmob_1554	7.13e-169	472.0	COG2188@1|root,COG2188@2|Bacteria,2GCM0@200918|Thermotogae	200918|Thermotogae	K	GntR family	-	-	-	ko:K03710	-	-	-	-	ko00000,ko03000	-	-	-	GntR,UTRA
WP_012209354.1	403833.Pmob_1555	1.6e-75	225.0	COG1942@1|root,COG1942@2|Bacteria,2GE80@200918|Thermotogae	200918|Thermotogae	S	Macrophage migration inhibitory factor (MIF)	-	-	-	-	-	-	-	-	-	-	-	-	MIF
WP_012209355.1	403833.Pmob_1556	4.42e-153	431.0	2ER3N@1|root,33IP9@2|Bacteria,2GDM6@200918|Thermotogae	200918|Thermotogae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_012209357.1	403833.Pmob_1559	1.27e-273	751.0	COG0477@1|root,COG2814@2|Bacteria,2GC08@200918|Thermotogae	200918|Thermotogae	EGP	PFAM Major Facilitator Superfamily	-	-	-	-	-	-	-	-	-	-	-	-	MFS_1
WP_012209360.1	403833.Pmob_1565	1.96e-223	614.0	COG0535@1|root,COG0535@2|Bacteria	2|Bacteria	I	radical SAM domain protein	-	-	-	ko:K06871	-	-	-	-	ko00000	-	-	-	Fer4_12,Fer4_14,PqqD,Radical_SAM,SPASM
WP_012209362.1	403833.Pmob_1567	4.71e-239	656.0	COG2309@1|root,COG2309@2|Bacteria	2|Bacteria	E	aminopeptidase activity	-	-	-	ko:K19689	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	HTH_20,Peptidase_M29
WP_012209400.1	403833.Pmob_1609	0.0	1036.0	COG1070@1|root,COG1070@2|Bacteria,2GCEX@200918|Thermotogae	200918|Thermotogae	G	Belongs to the FGGY kinase family	-	-	2.7.1.17	ko:K00854	ko00040,ko01100,map00040,map01100	M00014	R01639	RC00002,RC00538	ko00000,ko00001,ko00002,ko01000	-	-	-	FGGY_C,FGGY_N
WP_012209465.1	403833.Pmob_1674	6.11e-68	205.0	COG2151@1|root,COG2151@2|Bacteria,2GDA3@200918|Thermotogae	200918|Thermotogae	S	metal-sulfur cluster biosynthetic	-	-	-	-	-	-	-	-	-	-	-	-	FeS_assembly_P
WP_012209694.1	403833.Pmob_1910	7.36e-55	171.0	COG0776@1|root,COG0776@2|Bacteria,2GDFH@200918|Thermotogae	200918|Thermotogae	L	Histone-like DNA-binding protein which is capable of wrapping DNA to stabilize it, and thus to prevent its denaturation under extreme environmental conditions	-	GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0008150,GO:0009889,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0044424,GO:0044444,GO:0044464,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:1901363,GO:1903506,GO:2001141	-	ko:K03530	-	-	-	-	ko00000,ko03032,ko03036,ko03400	-	-	-	Bac_DNA_binding
WP_041534129.1	403833.Pmob_0299	8.03e-113	334.0	COG3464@1|root,COG3464@2|Bacteria	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DDE_Tnp_ISL3,HTH_Tnp_ISL3,zf-ISL3
WP_041534130.1	403833.Pmob_1566	0.0	877.0	COG0308@1|root,COG0308@2|Bacteria	2|Bacteria	E	peptide catabolic process	-	-	3.4.11.2	ko:K01256	ko00480,ko01100,map00480,map01100	-	R00899,R04951	RC00096,RC00141	ko00000,ko00001,ko01000,ko01002	-	-	-	DUF2268,Peptidase_M1
WP_041534131.1	403833.Pmob_1059	2.2e-32	113.0	COG1547@1|root,COG1547@2|Bacteria	2|Bacteria	S	Domain of unknown function (DUF309)	-	-	-	ko:K09763	-	-	-	-	ko00000	-	-	-	DUF309
WP_103064945.1	403833.Pmob_0959	4.13e-142	402.0	COG1846@1|root,COG1846@2|Bacteria,2GCXK@200918|Thermotogae	200918|Thermotogae	K	PFAM regulatory protein MarR	-	-	-	-	-	-	-	-	-	-	-	-	HTH_24,Methyltransf_14
WP_103064951.1	403833.Pmob_0965	2.7e-93	273.0	COG1918@1|root,COG1918@2|Bacteria,2GDI6@200918|Thermotogae	200918|Thermotogae	P	PFAM FeoA	-	-	-	ko:K04758	-	-	-	-	ko00000,ko02000	-	-	-	FeoA
WP_103064953.1	403833.Pmob_0966	0.0	1224.0	COG0370@1|root,COG0370@2|Bacteria,2GC5S@200918|Thermotogae	200918|Thermotogae	P	transporter of a GTP-driven Fe(2 ) uptake system	-	-	-	ko:K04759	-	-	-	-	ko00000,ko02000	9.A.8.1	-	-	FeoB_C,FeoB_N,Gate
WP_103064954.1	403833.Pmob_0967	5.75e-68	207.0	28XEF@1|root,2ZJC6@2|Bacteria,2GEB3@200918|Thermotogae	200918|Thermotogae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_103064955.1	403833.Pmob_0968	9.09e-80	239.0	COG1610@1|root,COG1610@2|Bacteria,2GDBU@200918|Thermotogae	200918|Thermotogae	S	GatB Yqey domain protein	-	-	-	ko:K09117	-	-	-	-	ko00000	-	-	-	YqeY
WP_103064956.1	403833.Pmob_0969	1.69e-73	221.0	COG2878@1|root,COG2878@2|Bacteria,2GDDE@200918|Thermotogae	200918|Thermotogae	C	PFAM Fe-S cluster domain protein	-	-	-	ko:K03616	-	-	-	-	ko00000	-	-	-	FeS
WP_103064965.1	403833.Pmob_0977	0.0	1031.0	COG0540@1|root,COG1781@1|root,COG0540@2|Bacteria,COG1781@2|Bacteria,2GCQ9@200918|Thermotogae	200918|Thermotogae	F	aspartate ornithine carbamoyltransferase, carbamoyl-P binding domain	pyrB	GO:0003674,GO:0003824,GO:0004070,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006220,GO:0006221,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009117,GO:0009165,GO:0009218,GO:0009220,GO:0009259,GO:0009260,GO:0009987,GO:0016740,GO:0016741,GO:0016743,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0034641,GO:0034654,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046390,GO:0046483,GO:0055086,GO:0071704,GO:0072527,GO:0072528,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	2.1.3.2	ko:K00608	ko00240,ko00250,ko01100,map00240,map00250,map01100	M00051	R01397	RC00064,RC02850	ko00000,ko00001,ko00002,ko01000	-	-	-	OTCace,OTCace_N,PyrI,PyrI_C
WP_103064966.1	403833.Pmob_0978	0.0	1242.0	COG1328@1|root,COG1328@2|Bacteria,2GCC4@200918|Thermotogae	200918|Thermotogae	F	TIGRFAM Anaerobic ribonucleoside-triphosphate reductase	-	-	1.1.98.6	ko:K21636	ko00230,ko00240,ko01100,map00230,map00240,map01100	M00053	R11633,R11634,R11635,R11636	RC00613	ko00000,ko00001,ko00002,ko01000	-	-	iLJ478.TM0385	ATP-cone,NRDD
WP_103064967.1	403833.Pmob_0979	4.77e-142	401.0	COG1180@1|root,COG1180@2|Bacteria,2GD8W@200918|Thermotogae	200918|Thermotogae	O	TIGRFAM anaerobic ribonucleoside-triphosphate reductase activating protein	-	-	1.97.1.4	ko:K04069	-	-	R04710	-	ko00000,ko01000	-	-	-	Fer4_12,Radical_SAM
WP_103064969.1	403833.Pmob_0983	6.5e-163	457.0	COG0730@1|root,COG0730@2|Bacteria	2|Bacteria	S	response to heat	ytnM	-	-	ko:K07090	-	-	-	-	ko00000	-	-	-	NAD_binding_7,Sirohm_synth_M,TauE
WP_103064972.1	1293054.HSACCH_00853	1.09e-33	116.0	COG1573@1|root,COG1573@2|Bacteria	2|Bacteria	L	deaminated base DNA N-glycosylase activity	ung	-	3.2.2.27	ko:K03648,ko:K21929	ko03410,ko05340,map03410,map05340	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	DUF4130,UDG
WP_103064973.1	403833.Pmob_0988	3.15e-176	491.0	COG1121@1|root,COG1121@2|Bacteria,2GCN4@200918|Thermotogae	200918|Thermotogae	P	PFAM ABC transporter	-	-	-	ko:K09817	ko02010,map02010	M00242	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.15.3,3.A.1.15.5	-	-	ABC_tran
WP_103064980.1	403833.Pmob_0980	3.19e-169	474.0	COG0179@1|root,COG0179@2|Bacteria,2GE3W@200918|Thermotogae	200918|Thermotogae	Q	PFAM fumarylacetoacetate (FAA) hydrolase	-	-	-	-	-	-	-	-	-	-	-	-	FAA_hydrolase
WP_103065168.1	403833.Pmob_0259	4.33e-36	122.0	COG1141@1|root,COG1141@2|Bacteria,2GDGB@200918|Thermotogae	200918|Thermotogae	C	4Fe-4S ferredoxin iron-sulfur binding domain protein	-	-	-	ko:K05337	-	-	-	-	ko00000	-	-	-	Fer4_13
WP_103065228.1	403833.Pmob_0653	1.28e-296	809.0	COG0520@1|root,COG0520@2|Bacteria,2GCEE@200918|Thermotogae	200918|Thermotogae	E	Catalyzes the removal of elemental sulfur and selenium atoms from L-cysteine, L-cystine, L-selenocysteine, and L- selenocystine to produce L-alanine	-	-	2.8.1.7,4.4.1.16	ko:K04487,ko:K11717	ko00450,ko00730,ko01100,ko04122,map00450,map00730,map01100,map04122	-	R03599,R07460,R11528,R11529	RC00961,RC01789,RC02313	ko00000,ko00001,ko01000,ko02048,ko03016,ko03029	-	-	-	Aminotran_5
WP_103065462.1	403833.Pmob_1670	6.28e-154	435.0	COG0428@1|root,COG0428@2|Bacteria,2GCHV@200918|Thermotogae	200918|Thermotogae	P	PFAM zinc iron permease	-	-	-	ko:K07238	-	-	-	-	ko00000,ko02000	2.A.5.5	-	-	Zip
WP_103065525.1	403833.Pmob_1029	1.3e-88	270.0	COG1044@1|root,COG1044@2|Bacteria,2GCIE@200918|Thermotogae	200918|Thermotogae	M	PFAM transferase hexapeptide repeat containing protein	-	-	-	-	-	-	-	-	-	-	-	-	Hexapep,Hexapep_2
WP_103065526.1	403833.Pmob_1030	2.02e-17	75.1	2C23P@1|root,34C5Y@2|Bacteria,2GEBQ@200918|Thermotogae	200918|Thermotogae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_103065527.1	403833.Pmob_1032	0.0	1303.0	COG3808@1|root,COG3808@2|Bacteria,2GCMP@200918|Thermotogae	200918|Thermotogae	C	Sodium pump that utilizes the energy of pyrophosphate hydrolysis as the driving force for Na( ) movement across the membrane	hppA	GO:0000287,GO:0003674,GO:0003824,GO:0004427,GO:0005215,GO:0005488,GO:0005509,GO:0005515,GO:0005575,GO:0006810,GO:0006811,GO:0006812,GO:0006814,GO:0008150,GO:0008324,GO:0015075,GO:0015077,GO:0015081,GO:0015318,GO:0015672,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0022857,GO:0022890,GO:0030001,GO:0031224,GO:0034220,GO:0035725,GO:0042802,GO:0042803,GO:0043167,GO:0043169,GO:0044425,GO:0046872,GO:0046873,GO:0046983,GO:0051179,GO:0051234,GO:0055085,GO:0098655,GO:0098660,GO:0098662	3.6.1.1	ko:K15987	ko00190,map00190	-	-	-	ko00000,ko00001,ko01000	3.A.10.1	-	iLJ478.TM0174	H_PPase
WP_103065528.1	403833.Pmob_1033	6.77e-166	465.0	COG1028@1|root,COG1028@2|Bacteria,2GDVD@200918|Thermotogae	200918|Thermotogae	IQ	KR domain	-	-	1.1.1.100	ko:K00059	ko00061,ko00333,ko00780,ko01040,ko01100,ko01130,ko01212,map00061,map00333,map00780,map01040,map01100,map01130,map01212	M00083,M00572	R04533,R04534,R04536,R04543,R04566,R04953,R04964,R07759,R07763,R10116,R10120,R11671	RC00029,RC00117	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	adh_short_C2
WP_103065529.1	403833.Pmob_1034	1.82e-196	546.0	COG0331@1|root,COG0331@2|Bacteria,2GCDX@200918|Thermotogae	200918|Thermotogae	I	malonyl CoA-acyl carrier protein transacylase	-	-	2.3.1.39	ko:K00645	ko00061,ko00333,ko01100,ko01130,ko01212,map00061,map00333,map01100,map01130,map01212	M00082	R01626,R11671	RC00004,RC00039,RC02727	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	Acyl_transf_1
WP_103065530.1	403833.Pmob_1035	2.33e-212	588.0	COG2070@1|root,COG2070@2|Bacteria,2GCHY@200918|Thermotogae	200918|Thermotogae	S	PFAM 2-nitropropane dioxygenase	-	-	1.3.1.9	ko:K02371	ko00061,ko01100,ko01212,map00061,map01100,map01212	M00083	R04429,R04724,R04955,R04958,R04961,R04966,R04969,R07765	RC00052,RC00076	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	NMO
WP_103065531.1	403833.Pmob_1036	5.68e-91	266.0	COG0764@1|root,COG0764@2|Bacteria,2GD8I@200918|Thermotogae	200918|Thermotogae	I	Involved in unsaturated fatty acids biosynthesis. Catalyzes the dehydration of short chain beta-hydroxyacyl-ACPs and long chain saturated and unsaturated beta-hydroxyacyl-ACPs	fabZ	-	4.2.1.59	ko:K02372	ko00061,ko00780,ko01100,ko01212,map00061,map00780,map01100,map01212	M00083,M00572	R04428,R04535,R04537,R04544,R04568,R04954,R04965,R07764,R10117,R10121	RC00831,RC01095	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	FabA
WP_103065532.1	403833.Pmob_1037	1.91e-198	550.0	COG1307@1|root,COG1307@2|Bacteria,2GCZ3@200918|Thermotogae	200918|Thermotogae	S	DegV family	-	-	-	-	-	-	-	-	-	-	-	-	DegV
WP_103065536.1	403833.Pmob_1063	3.48e-247	680.0	COG0012@1|root,COG0012@2|Bacteria,2GC12@200918|Thermotogae	200918|Thermotogae	J	GTP-binding protein YchF	ychF	-	-	ko:K06942	-	-	-	-	ko00000,ko03009	-	-	-	MMR_HSR1,YchF-GTPase_C
WP_103065537.1	403833.Pmob_1064	4.33e-234	644.0	COG1087@1|root,COG1087@2|Bacteria,2GCQI@200918|Thermotogae	200918|Thermotogae	M	Belongs to the NAD(P)-dependent epimerase dehydratase family	-	-	5.1.3.2	ko:K01784	ko00052,ko00520,ko01100,map00052,map00520,map01100	M00361,M00362,M00632	R00291,R02984	RC00289	ko00000,ko00001,ko00002,ko01000	-	-	-	Epimerase,GDP_Man_Dehyd
WP_103065538.1	403833.Pmob_1065	2.42e-122	348.0	COG0503@1|root,COG0503@2|Bacteria,2GCSE@200918|Thermotogae	200918|Thermotogae	F	Catalyzes a salvage reaction resulting in the formation of AMP, that is energically less costly than de novo synthesis	apt	-	2.4.2.7	ko:K00759	ko00230,ko01100,map00230,map01100	-	R00190,R01229,R04378	RC00063	ko00000,ko00001,ko01000,ko04147	-	-	-	Pribosyltran
WP_103065539.1	403833.Pmob_1066	0.0	907.0	COG0166@1|root,COG0166@2|Bacteria,2GC7K@200918|Thermotogae	200918|Thermotogae	G	Belongs to the GPI family	pgi	-	5.3.1.9	ko:K01810	ko00010,ko00030,ko00500,ko00520,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00030,map00500,map00520,map01100,map01110,map01120,map01130,map01200	M00001,M00004,M00114	R02739,R02740,R03321	RC00376,RC00563	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	iLJ478.TM1385	PGI
