#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WP_047266541.1	443254.Marpi_0921	3.52e-200	556.0	COG1131@1|root,COG1131@2|Bacteria,2GCMT@200918|Thermotogae	200918|Thermotogae	P	PFAM ABC transporter	-	-	-	ko:K01990	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC_tran
WP_047266740.1	443254.Marpi_0977	8.83e-65	198.0	COG1433@1|root,COG1433@2|Bacteria,2GDK0@200918|Thermotogae	200918|Thermotogae	S	Dinitrogenase iron-molybdenum cofactor	-	-	-	-	-	-	-	-	-	-	-	-	Nitro_FeMo-Co
WP_047267535.1	443254.Marpi_1286	7.87e-57	179.0	COG1725@1|root,COG1725@2|Bacteria,2GDGX@200918|Thermotogae	200918|Thermotogae	K	PFAM regulatory protein GntR HTH	-	-	-	ko:K07979	-	-	-	-	ko00000,ko03000	-	-	-	GntR
WP_047267741.1	443254.Marpi_1651	2.23e-55	182.0	28RVC@1|root,2ZE7M@2|Bacteria,2GEAX@200918|Thermotogae	200918|Thermotogae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_072862094.1	443254.Marpi_1527	1.29e-119	354.0	COG1344@1|root,COG1344@2|Bacteria,2GC0G@200918|Thermotogae	200918|Thermotogae	N	Flagellin is the subunit protein which polymerizes to form the filaments of bacterial flagella	-	-	-	ko:K02406	ko02020,ko02040,ko04621,ko04626,ko05132,ko05134,map02020,map02040,map04621,map04626,map05132,map05134	-	-	-	ko00000,ko00001,ko02035	-	-	-	Flagellin_C,Flagellin_N
WP_072862097.1	443254.Marpi_1808	2E-178	501.0	COG0341@1|root,COG0341@2|Bacteria,2GC2K@200918|Thermotogae	200918|Thermotogae	U	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA	secF	-	-	ko:K03074	ko03060,ko03070,map03060,map03070	M00335	-	-	ko00000,ko00001,ko00002,ko02044	2.A.6.4,3.A.5.2,3.A.5.7	-	-	SecD_SecF,Sec_GG
WP_072862099.1	443254.Marpi_1809	2.1e-294	808.0	COG0342@1|root,COG0342@2|Bacteria,2GCG8@200918|Thermotogae	200918|Thermotogae	U	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA	secD	-	-	ko:K03072	ko03060,ko03070,map03060,map03070	M00335	-	-	ko00000,ko00001,ko00002,ko02044	2.A.6.4,3.A.5.2,3.A.5.7	-	-	SecD_SecF
WP_072862102.1	443254.Marpi_1810	2.36e-59	186.0	COG1862@1|root,COG1862@2|Bacteria,2GDAR@200918|Thermotogae	200918|Thermotogae	U	TIGRFAM preprotein translocase, YajC subunit	-	-	-	ko:K03210	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335	-	-	ko00000,ko00001,ko00002,ko02044	3.A.5.1,3.A.5.2	-	-	YajC
WP_072862108.1	443254.Marpi_1812	1.21e-30	110.0	2C7MV@1|root,2ZV5M@2|Bacteria,2GECW@200918|Thermotogae	200918|Thermotogae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_072862110.1	443254.Marpi_1813	1.97e-129	374.0	COG0796@1|root,COG0796@2|Bacteria,2GD4E@200918|Thermotogae	200918|Thermotogae	M	Provides the (R)-glutamate required for cell wall biosynthesis	murI	-	5.1.1.3	ko:K01776	ko00471,ko01100,map00471,map01100	-	R00260	RC00302	ko00000,ko00001,ko01000,ko01011	-	-	-	Asp_Glu_race
WP_072862112.1	443254.Marpi_1814	2.98e-139	401.0	COG1660@1|root,COG1660@2|Bacteria,2GCSF@200918|Thermotogae	200918|Thermotogae	S	Displays ATPase and GTPase activities	-	-	-	ko:K06958	-	-	-	-	ko00000,ko03019	-	-	-	ATP_bind_2
WP_072862114.1	443254.Marpi_1815	9.92e-165	466.0	COG1481@1|root,COG1481@2|Bacteria,2GCYH@200918|Thermotogae	200918|Thermotogae	K	May be required for sporulation	-	-	-	ko:K09762	-	-	-	-	ko00000	-	-	-	HTH_WhiA,LAGLIDADG_WhiA,WhiA_N
WP_072862116.1	443254.Marpi_1816	1.74e-94	276.0	COG1327@1|root,COG1327@2|Bacteria,2GCWA@200918|Thermotogae	200918|Thermotogae	K	Negatively regulates transcription of bacterial ribonucleotide reductase nrd genes and operons by binding to NrdR- boxes	nrdR	-	-	ko:K07738	-	-	-	-	ko00000,ko03000	-	-	-	ATP-cone
WP_072862118.1	443254.Marpi_1817	1.69e-96	283.0	COG0782@1|root,COG0782@2|Bacteria,2GD33@200918|Thermotogae	200918|Thermotogae	K	Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus. GreA releases sequences of 2 to 3 nucleotides	greA	-	-	ko:K03624	-	-	-	-	ko00000,ko03021	-	-	-	GreA_GreB,GreA_GreB_N
WP_072862120.1	443254.Marpi_1818	0.0	909.0	COG1190@1|root,COG1190@2|Bacteria,2GCCF@200918|Thermotogae	200918|Thermotogae	J	Belongs to the class-II aminoacyl-tRNA synthetase family	lysS	-	6.1.1.6	ko:K04567	ko00970,map00970	M00359,M00360	R03658	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	tRNA-synt_2,tRNA_anti-codon
WP_072862122.1	443254.Marpi_1819	3.03e-40	132.0	COG0227@1|root,COG0227@2|Bacteria,2GDFC@200918|Thermotogae	200918|Thermotogae	J	Belongs to the bacterial ribosomal protein bL28 family	rpmB	-	-	ko:K02902	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L28
WP_072862124.1	443254.Marpi_0971	0.0	936.0	COG0587@1|root,COG0587@2|Bacteria,2GC62@200918|Thermotogae	200918|Thermotogae	L	DNA polymerase III alpha subunit	-	-	2.7.7.7	ko:K02337	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	DNA_pol3_alpha,HHH_6
WP_072862126.1	443254.Marpi_0970	1.17e-72	221.0	COG0779@1|root,COG0779@2|Bacteria,2GD7P@200918|Thermotogae	200918|Thermotogae	J	Required for maturation of 30S ribosomal subunits	rimP	-	-	ko:K09748	-	-	-	-	ko00000,ko03009	-	-	-	DUF150,DUF150_C
WP_072862128.1	443254.Marpi_0969	4.84e-194	544.0	COG0195@1|root,COG0195@2|Bacteria,2GBYV@200918|Thermotogae	200918|Thermotogae	K	Participates in both transcription termination and antitermination	nusA	-	-	ko:K02600	-	-	-	-	ko00000,ko03009,ko03021	-	-	-	KH_5,NusA_N,S1
WP_072862129.1	443254.Marpi_0968	7.43e-70	213.0	COG0735@1|root,COG0735@2|Bacteria,2GD8Q@200918|Thermotogae	200918|Thermotogae	P	Belongs to the Fur family	-	-	-	ko:K03711	-	-	-	-	ko00000,ko03000	-	-	-	FUR
WP_072862131.1	443254.Marpi_1532	1.1e-116	336.0	COG0218@1|root,COG0218@2|Bacteria,2GCYP@200918|Thermotogae	200918|Thermotogae	D	Necessary for normal cell division and for the maintenance of normal septation	engB	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464	-	ko:K03978	-	-	-	-	ko00000,ko03036	-	-	-	MMR_HSR1
WP_072862135.1	443254.Marpi_1440	8.44e-54	171.0	COG4828@1|root,COG4828@2|Bacteria,2GE7W@200918|Thermotogae	200918|Thermotogae	S	Protein of unknown function (DUF1622)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1622
WP_072862137.1	443254.Marpi_1441	8.25e-155	443.0	COG0758@1|root,COG0758@2|Bacteria,2GCZR@200918|Thermotogae	200918|Thermotogae	L	DNA protecting protein DprA	-	-	-	ko:K04096	-	-	-	-	ko00000	-	-	-	DNA_processg_A,TrmB
WP_072862141.1	443254.Marpi_1443	1.41e-267	735.0	COG2182@1|root,COG2182@2|Bacteria,2GC7X@200918|Thermotogae	200918|Thermotogae	G	PFAM extracellular solute-binding protein family 1	-	-	-	ko:K10108	ko02010,ko02030,map02010,map02030	M00194	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.1.1,3.A.1.1.22	-	iLJ478.TM1204	SBP_bac_8
WP_072862143.1	443254.Marpi_1444	1.41e-143	410.0	COG1235@1|root,COG1235@2|Bacteria,2GE3C@200918|Thermotogae	200918|Thermotogae	S	Beta-lactamase superfamily domain	-	-	3.1.4.55	ko:K06167	ko00440,map00440	-	R10205	RC00296	ko00000,ko00001,ko01000	-	-	-	Lactamase_B_2
WP_072862145.1	443254.Marpi_1445	3.83e-103	301.0	COG0622@1|root,COG0622@2|Bacteria,2GD3X@200918|Thermotogae	200918|Thermotogae	S	TIGRFAM phosphodiesterase, MJ0936 family	-	-	-	ko:K07095	-	-	-	-	ko00000	-	-	-	Metallophos_2
WP_072862147.1	521045.Kole_1113	0.0	885.0	COG0737@1|root,COG1388@1|root,COG0737@2|Bacteria,COG1388@2|Bacteria,2GC5Z@200918|Thermotogae	200918|Thermotogae	F	Belongs to the 5'-nucleotidase family	-	-	3.1.3.6,3.1.4.16	ko:K01119	ko00230,ko00240,map00230,map00240	-	R01562,R01877,R02148,R02370,R03537,R03538,R03929,R05135	RC00078,RC00296	ko00000,ko00001,ko01000	-	-	-	5_nucleotid_C,LysM,Metallophos
WP_072862149.1	443254.Marpi_1155	0.0	1098.0	COG1501@1|root,COG1501@2|Bacteria,2GBZJ@200918|Thermotogae	200918|Thermotogae	G	Belongs to the glycosyl hydrolase 31 family	-	-	3.2.1.177,3.2.1.20	ko:K01187,ko:K01811	ko00052,ko00500,ko01100,map00052,map00500,map01100	-	R00028,R00801,R00802,R06087,R06088	RC00028,RC00049,RC00077	ko00000,ko00001,ko01000	-	GH31	-	DUF5110,Gal_mutarotas_2,Glyco_hydro_31
WP_072862151.1	443254.Marpi_1153	3.3e-172	495.0	2BJJI@1|root,32DWN@2|Bacteria,2GD7C@200918|Thermotogae	200918|Thermotogae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_072862153.1	443254.Marpi_1152	8.5e-165	466.0	COG0564@1|root,COG0564@2|Bacteria,2GCKX@200918|Thermotogae	200918|Thermotogae	J	Responsible for synthesis of pseudouridine from uracil	-	-	5.4.99.24	ko:K06179	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	PseudoU_synth_2,S4
WP_072862155.1	443254.Marpi_1151	8.71e-105	310.0	2ER3N@1|root,33IP9@2|Bacteria,2GDM6@200918|Thermotogae	200918|Thermotogae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_072862157.1	765420.OSCT_1272	5.85e-129	377.0	COG1023@1|root,COG1023@2|Bacteria,2G5YD@200795|Chloroflexi,375RD@32061|Chloroflexia	32061|Chloroflexia	G	TIGRFAM 6-phosphogluconate dehydrogenase, decarboxylating	-	-	1.1.1.343,1.1.1.44	ko:K00033	ko00030,ko00480,ko01100,ko01110,ko01120,ko01130,ko01200,map00030,map00480,map01100,map01110,map01120,map01130,map01200	M00004,M00006	R01528,R10221	RC00001,RC00539	ko00000,ko00001,ko00002,ko01000	-	-	-	6PGD,NAD_binding_2
WP_072862159.1	443254.Marpi_1571	1.86e-120	348.0	COG0363@1|root,COG0363@2|Bacteria,2GD72@200918|Thermotogae	200918|Thermotogae	G	6-phosphogluconolactonase	-	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006081,GO:0006098,GO:0006139,GO:0006725,GO:0006732,GO:0006733,GO:0006739,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009051,GO:0009117,GO:0009987,GO:0016787,GO:0016788,GO:0017057,GO:0019362,GO:0019637,GO:0019682,GO:0019693,GO:0034641,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044464,GO:0046483,GO:0046496,GO:0051156,GO:0051186,GO:0052689,GO:0055086,GO:0071704,GO:0072524,GO:1901135,GO:1901360,GO:1901564	3.1.1.31	ko:K01057	ko00030,ko01100,ko01110,ko01120,ko01130,ko01200,map00030,map01100,map01110,map01120,map01130,map01200	M00004,M00006,M00008	R02035	RC00537	ko00000,ko00001,ko00002,ko01000	-	-	iLJ478.TM1154	Glucosamine_iso
WP_072862160.1	443254.Marpi_0767	0.0	1373.0	COG5276@1|root,COG5276@2|Bacteria,2GD6R@200918|Thermotogae	200918|Thermotogae	S	PFAM Fibronectin, type III domain	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_072862164.1	941824.TCEL_01304	1.6e-184	531.0	COG0297@1|root,COG0297@2|Bacteria,1UZ33@1239|Firmicutes,24BB8@186801|Clostridia,36GVI@31979|Clostridiaceae	186801|Clostridia	G	Sucrose synthase	-	-	2.4.1.14	ko:K00696	ko00500,ko01100,map00500,map01100	-	R00766	RC00005,RC00028,RC02748	ko00000,ko00001,ko01000	-	GT4	-	Glycos_transf_1,Sucrose_synth
WP_072862166.1	443254.Marpi_1829	3.26e-111	331.0	COG2342@1|root,COG2342@2|Bacteria,2GDC7@200918|Thermotogae	200918|Thermotogae	G	PFAM TM1410 hypothetical-related protein	-	-	6.1.1.16	ko:K01884	ko00970,map00970	M00360	R03650	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	Glyco_hydro_114
WP_072862170.1	443254.Marpi_1828	1.45e-151	430.0	COG0388@1|root,COG0388@2|Bacteria,2GCR6@200918|Thermotogae	200918|Thermotogae	S	Carbon-nitrogen hydrolase	-	-	-	-	-	-	-	-	-	-	-	-	CN_hydrolase
WP_072862173.1	443254.Marpi_1827	5.49e-60	191.0	COG0212@1|root,COG0212@2|Bacteria	2|Bacteria	H	Belongs to the 5-formyltetrahydrofolate cyclo-ligase family	ygfA	GO:0003674,GO:0003824,GO:0006082,GO:0006575,GO:0006725,GO:0006730,GO:0006732,GO:0006760,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009396,GO:0009987,GO:0016053,GO:0016874,GO:0016879,GO:0016882,GO:0018130,GO:0019438,GO:0019752,GO:0022611,GO:0030272,GO:0032502,GO:0034641,GO:0035999,GO:0042398,GO:0042558,GO:0042559,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0046394,GO:0046483,GO:0046653,GO:0051186,GO:0051188,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	6.3.3.2	ko:K01934	ko00670,ko01100,map00670,map01100	-	R02301	RC00183	ko00000,ko00001,ko01000	-	-	iECABU_c1320.ECABU_c31940,iECOK1_1307.ECOK1_3298,iECSF_1327.ECSF_2705,iUTI89_1310.UTI89_C3298	5-FTHF_cyc-lig
WP_072862175.1	443254.Marpi_1826	0.0	976.0	COG4878@1|root,COG4878@2|Bacteria,2GBZ0@200918|Thermotogae	200918|Thermotogae	S	protein conserved in bacteria	-	-	-	-	-	-	-	-	-	-	-	-	DUF2194
WP_072862177.1	443254.Marpi_1825	2.78e-223	629.0	COG4267@1|root,COG4267@2|Bacteria,2GCMS@200918|Thermotogae	200918|Thermotogae	S	Putative exopolysaccharide Exporter (EPS-E)	-	-	-	ko:K21012	ko02025,map02025	-	-	-	ko00000,ko00001	-	-	-	PelG
WP_072862179.1	443254.Marpi_1824	5.72e-280	772.0	COG0438@1|root,COG0438@2|Bacteria,2GCAK@200918|Thermotogae	200918|Thermotogae	M	glycosyl transferase group 1	-	-	-	ko:K21011	ko02025,map02025	-	-	-	ko00000,ko00001,ko01003	-	GT4	-	DUF3492,Glycos_transf_1
WP_072862183.1	443254.Marpi_1822	1.32e-96	295.0	2EJ17@1|root,33CSE@2|Bacteria,2GDMN@200918|Thermotogae	200918|Thermotogae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_072862187.1	443254.Marpi_1821	3.16e-165	476.0	28KVX@1|root,2ZACD@2|Bacteria,2GCIT@200918|Thermotogae	200918|Thermotogae	-	-	-	-	-	ko:K21009	ko02025,map02025	-	-	-	ko00000,ko00001	-	-	-	GAF_3
WP_072862189.1	443254.Marpi_1820	7.47e-84	255.0	COG5581@1|root,COG5581@2|Bacteria,2GD1Y@200918|Thermotogae	200918|Thermotogae	M	type IV pilus assembly PilZ	-	-	-	-	-	-	-	-	-	-	-	-	PilZ,YcgR_2
WP_072862191.1	443254.Marpi_0043	9.08e-252	696.0	COG0304@1|root,COG0304@2|Bacteria,2GCE5@200918|Thermotogae	200918|Thermotogae	I	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP	-	-	2.3.1.179	ko:K09458	ko00061,ko00780,ko01100,ko01212,map00061,map00780,map01100,map01212	M00083,M00572	R04355,R04726,R04952,R04957,R04960,R04963,R04968,R07762,R10115,R10119	RC00039,RC02728,RC02729,RC02888	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	Ketoacyl-synt_C,ketoacyl-synt
WP_072862193.1	443254.Marpi_0044	1.48e-158	449.0	COG1307@1|root,COG1307@2|Bacteria,2GCZ3@200918|Thermotogae	200918|Thermotogae	S	DegV family	-	-	-	-	-	-	-	-	-	-	-	-	DegV
WP_072862196.1	443254.Marpi_0046	8.58e-157	446.0	COG0332@1|root,COG0332@2|Bacteria,2GD8Y@200918|Thermotogae	200918|Thermotogae	I	PFAM 3-Oxoacyl- acyl-carrier-protein (ACP) synthase III	-	-	2.3.1.180	ko:K00648	ko00061,ko01100,ko01212,map00061,map01100,map01212	M00082,M00083	R10707	RC00004,RC02729,RC02888	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	ACP_syn_III,ACP_syn_III_C
WP_072862198.1	443254.Marpi_0047	1.19e-178	502.0	COG2070@1|root,COG2070@2|Bacteria,2GCHY@200918|Thermotogae	200918|Thermotogae	S	PFAM 2-nitropropane dioxygenase	-	-	1.3.1.9	ko:K02371	ko00061,ko01100,ko01212,map00061,map01100,map01212	M00083	R04429,R04724,R04955,R04958,R04961,R04966,R04969,R07765	RC00052,RC00076	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	NMO
WP_072862200.1	443254.Marpi_0048	4.52e-174	489.0	COG0331@1|root,COG0331@2|Bacteria,2GCDX@200918|Thermotogae	200918|Thermotogae	I	malonyl CoA-acyl carrier protein transacylase	-	-	2.3.1.39	ko:K00645	ko00061,ko00333,ko01100,ko01130,ko01212,map00061,map00333,map01100,map01130,map01212	M00082	R01626,R11671	RC00004,RC00039,RC02727	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	Acyl_transf_1
WP_072862202.1	443254.Marpi_1751	1.79e-51	165.0	COG2201@1|root,COG2201@2|Bacteria	2|Bacteria	NT	protein-glutamate methylesterase activity	cheB	-	3.1.1.61,3.5.1.44	ko:K03412,ko:K03413	ko02020,ko02030,map02020,map02030	M00506	-	-	ko00000,ko00001,ko00002,ko01000,ko02022,ko02035	-	-	-	CheB_methylest,Response_reg
WP_072862205.1	443254.Marpi_1750	0.0	2287.0	COG2176@1|root,COG2176@2|Bacteria,2GC40@200918|Thermotogae	200918|Thermotogae	L	Required for replicative DNA synthesis. This DNA polymerase also exhibits 3' to 5' exonuclease activity	polC	-	2.7.7.7	ko:K03763	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	DNA_pol3_alpha,HHH_6,PHP,RNase_T
WP_072862207.1	443254.Marpi_1748	1.66e-67	212.0	29AMP@1|root,2ZXMJ@2|Bacteria,2GEBZ@200918|Thermotogae	200918|Thermotogae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_072862210.1	443254.Marpi_1747	1.1e-88	265.0	COG2110@1|root,COG2110@2|Bacteria,2GD2K@200918|Thermotogae	200918|Thermotogae	S	PFAM Appr-1-p processing domain protein	-	-	-	-	-	-	-	-	-	-	-	-	Macro
WP_072862212.1	443254.Marpi_1746	2.95e-224	627.0	COG1055@1|root,COG1055@2|Bacteria,2GC1U@200918|Thermotogae	200918|Thermotogae	P	Citrate transporter	-	-	-	-	-	-	-	-	-	-	-	-	CitMHS,Na_sulph_symp
WP_072862215.1	443254.Marpi_1745	0.0	1449.0	COG0542@1|root,COG0542@2|Bacteria,2GC73@200918|Thermotogae	200918|Thermotogae	O	Belongs to the ClpA ClpB family	-	-	-	ko:K03696	ko01100,map01100	-	-	-	ko00000,ko03110	-	-	-	AAA,AAA_2,ClpB_D2-small,Clp_N,UVR
