#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WP_012208256.1	403833.Pmob_0407	1.38e-251	689.0	COG0863@1|root,COG0863@2|Bacteria	2|Bacteria	L	N-4 methylation of cytosine	-	-	2.1.1.113,2.1.1.37	ko:K00558,ko:K00590	ko00270,ko01100,ko05206,map00270,map01100,map05206	M00035	R04858	RC00003,RC00332	ko00000,ko00001,ko00002,ko01000,ko02048,ko03032,ko03036	-	-	-	Mrr_N,N6_N4_Mtase
WP_012208258.1	403833.Pmob_0409	0.0	899.0	2CCB0@1|root,2Z8JN@2|Bacteria	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NurA
WP_012208261.1	403833.Pmob_0413	1.47e-243	669.0	28IFP@1|root,2Z8HD@2|Bacteria	2|Bacteria	S	Protein of unknown function (DUF3644)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3644
WP_012208262.1	403833.Pmob_0414	2.47e-101	293.0	COG2258@1|root,COG2258@2|Bacteria,2GD3M@200918|Thermotogae	200918|Thermotogae	S	PFAM MOSC domain containing protein	-	-	-	-	-	-	-	-	-	-	-	-	MOSC
WP_012208263.1	403833.Pmob_0415	2.87e-39	130.0	2DS01@1|root,33DW8@2|Bacteria	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_012208270.1	403833.Pmob_0423	1.65e-97	283.0	COG3858@1|root,COG3858@2|Bacteria	2|Bacteria	S	chitin binding	-	-	-	ko:K06306	-	-	-	-	ko00000	-	-	-	Glyco_hydro_18,LysM
WP_012208271.1	403833.Pmob_0424	1.39e-91	268.0	COG4824@1|root,COG4824@2|Bacteria	2|Bacteria	M	toxin secretion phage lysis holin	-	-	-	-	-	-	-	-	-	-	-	-	Phage_holin_4_1
WP_012208379.1	403833.Pmob_0541	0.0	1001.0	COG1073@1|root,COG1073@2|Bacteria,2GCQQ@200918|Thermotogae	200918|Thermotogae	S	Protein of unknown function (DUF3887)	-	GO:0003674,GO:0003824,GO:0016787,GO:0016788,GO:0052689	-	ko:K06889	-	-	-	-	ko00000	-	-	-	DUF3887,Hydrolase_4
WP_012208441.1	403833.Pmob_0603	4.62e-20	80.5	COG0230@1|root,COG0230@2|Bacteria,2GDMP@200918|Thermotogae	200918|Thermotogae	J	Belongs to the bacterial ribosomal protein bL34 family	rpmH	-	-	ko:K02914	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L34
WP_012208468.1	403833.Pmob_0632	6.23e-266	729.0	COG3464@1|root,COG4584@1|root,COG3464@2|Bacteria,COG4584@2|Bacteria,2GE1J@200918|Thermotogae	200918|Thermotogae	L	PFAM transposase IS204 IS1001 IS1096 IS1165 family protein	-	-	-	-	-	-	-	-	-	-	-	-	DDE_Tnp_ISL3
WP_012208469.1	403833.Pmob_0633	2.59e-107	309.0	COG3464@1|root,COG3464@2|Bacteria,2GE8E@200918|Thermotogae	200918|Thermotogae	L	zinc-finger of transposase IS204/IS1001/IS1096/IS1165	-	-	-	-	-	-	-	-	-	-	-	-	zf-ISL3
WP_012208470.1	403833.Pmob_0635	9.69e-170	474.0	COG1349@1|root,COG1349@2|Bacteria,2GDD5@200918|Thermotogae	200918|Thermotogae	K	transcriptional regulator	-	-	-	ko:K02430,ko:K03436	-	-	-	-	ko00000,ko03000	-	-	-	DeoRC,HTH_DeoR
WP_012208473.1	403833.Pmob_0638	5.55e-207	576.0	COG1172@1|root,COG1172@2|Bacteria,2GDTF@200918|Thermotogae	200918|Thermotogae	G	Branched-chain amino acid transport system / permease component	-	-	-	ko:K02057	-	M00221	-	-	ko00000,ko00002,ko02000	3.A.1.2	-	-	BPD_transp_2
WP_012208475.1	403833.Pmob_0640	9.8e-282	768.0	COG1653@1|root,COG1653@2|Bacteria	2|Bacteria	G	carbohydrate transport	-	-	-	ko:K02027	-	M00207	-	-	ko00000,ko00002,ko02000	3.A.1.1	-	-	SBP_bac_1,SBP_bac_8
WP_012208477.1	403833.Pmob_0642	3.43e-154	432.0	COG0235@1|root,COG0235@2|Bacteria,2GD6F@200918|Thermotogae	200918|Thermotogae	G	PFAM Class II Aldolase	-	-	4.1.2.17	ko:K01628	ko00051,ko01120,map00051,map01120	-	R02262	RC00603,RC00604	ko00000,ko00001,ko01000	-	-	-	Aldolase_II
WP_012208584.1	403833.Pmob_0757	1.45e-282	771.0	COG0675@1|root,COG0675@2|Bacteria,2GCZ8@200918|Thermotogae	200918|Thermotogae	L	transposase, IS891 IS1136 IS1341 family	-	-	-	ko:K07496	-	-	-	-	ko00000	-	-	-	HTH_OrfB_IS605,OrfB_IS605,OrfB_Zn_ribbon
WP_012208588.1	403833.Pmob_0761	3.03e-83	246.0	COG0203@1|root,COG0203@2|Bacteria,2GD23@200918|Thermotogae	200918|Thermotogae	J	Ribosomal protein L17	rplQ	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015934,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904	-	ko:K02879	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L17
WP_012208686.1	403833.Pmob_0860	2.53e-188	525.0	COG1633@1|root,COG1814@1|root,COG1633@2|Bacteria,COG1814@2|Bacteria,2GCAM@200918|Thermotogae	200918|Thermotogae	S	VIT family	-	-	-	-	-	-	-	-	-	-	-	-	VIT1
WP_012208720.1	403833.Pmob_0894	1.72e-40	134.0	COG1563@1|root,COG1563@2|Bacteria,2GDFP@200918|Thermotogae	200918|Thermotogae	P	Domain of unknown function (DUF4040)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4040
WP_012208721.1	403833.Pmob_0895	7.06e-70	211.0	COG1320@1|root,COG1320@2|Bacteria,2GDA1@200918|Thermotogae	200918|Thermotogae	P	TIGRFAM monovalent cation proton antiporter, MnhG PhaG subunit	-	-	-	ko:K05571	-	-	-	-	ko00000,ko02000	2.A.63.1,2.A.63.2	-	-	PhaG_MnhG_YufB
WP_012208733.1	403833.Pmob_0907	1.31e-98	286.0	COG0105@1|root,COG0105@2|Bacteria,2GCWQ@200918|Thermotogae	200918|Thermotogae	F	Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate	ndk	-	2.7.4.6	ko:K00940	ko00230,ko00240,ko00983,ko01100,ko01110,ko01130,ko04016,map00230,map00240,map00983,map01100,map01110,map01130,map04016	M00049,M00050,M00052,M00053	R00124,R00139,R00156,R00330,R00570,R00722,R01137,R01857,R02093,R02326,R02331,R03530,R11894,R11895	RC00002	ko00000,ko00001,ko00002,ko01000,ko04131	-	-	-	NDK
WP_012208734.1	403833.Pmob_0908	3.97e-255	701.0	COG0448@1|root,COG0448@2|Bacteria,2GCCI@200918|Thermotogae	200918|Thermotogae	H	Belongs to the bacterial plant glucose-1-phosphate adenylyltransferase family	-	-	2.7.7.27	ko:K00975	ko00500,ko00520,ko01100,ko01110,ko02026,map00500,map00520,map01100,map01110,map02026	M00565	R00948	RC00002	ko00000,ko00001,ko00002,ko01000	-	-	-	NTP_transferase
WP_012208735.1	403833.Pmob_0909	3.21e-286	783.0	COG0448@1|root,COG0448@2|Bacteria,2GC69@200918|Thermotogae	200918|Thermotogae	F	Involved in the biosynthesis of ADP-glucose, a building block required for the elongation reactions to produce glycogen. Catalyzes the reaction between ATP and alpha-D-glucose 1-phosphate (G1P) to produce pyrophosphate and ADP-Glc	glgC	-	2.7.7.27	ko:K00975	ko00500,ko00520,ko01100,ko01110,ko02026,map00500,map00520,map01100,map01110,map02026	M00565	R00948	RC00002	ko00000,ko00001,ko00002,ko01000	-	-	-	Hexapep,NTP_transferase
WP_012208976.1	403833.Pmob_1157	1.62e-53	168.0	COG0234@1|root,COG0234@2|Bacteria,2GD7H@200918|Thermotogae	200918|Thermotogae	O	Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter	groS	GO:0003674,GO:0005488,GO:0005515,GO:0006457,GO:0006458,GO:0006950,GO:0006986,GO:0008150,GO:0009987,GO:0010033,GO:0035966,GO:0042221,GO:0043167,GO:0043169,GO:0046872,GO:0050896,GO:0051082,GO:0051084,GO:0051085,GO:0051087,GO:0061077	-	ko:K04078	-	-	-	-	ko00000,ko03029,ko03110	-	-	-	Cpn10
WP_012208998.1	403833.Pmob_1179	2.39e-198	551.0	COG0280@1|root,COG0280@2|Bacteria,2GC5U@200918|Thermotogae	200918|Thermotogae	C	PFAM Phosphate acetyl butaryl transferase	-	-	2.3.1.19	ko:K00634	ko00650,ko01100,map00650,map01100	-	R01174	RC00004,RC02816	ko00000,ko00001,ko01000	-	-	-	PTA_PTB
WP_012209001.1	403833.Pmob_1182	4.36e-264	722.0	COG2017@1|root,COG2017@2|Bacteria,2GC92@200918|Thermotogae	200918|Thermotogae	G	Converts alpha-aldose to the beta-anomer	-	-	5.1.3.3	ko:K01785	ko00010,ko00052,ko01100,ko01110,ko01120,ko01130,map00010,map00052,map01100,map01110,map01120,map01130	M00632	R01602,R10619	RC00563	ko00000,ko00001,ko00002,ko01000	-	-	iLJ478.TM0282	Aldose_epim
WP_012209004.1	403833.Pmob_1185	1.33e-166	468.0	COG1277@1|root,COG1277@2|Bacteria,2GD10@200918|Thermotogae	200918|Thermotogae	S	ABC-2 family transporter protein	-	-	-	ko:K01992	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC2_membrane_2
WP_012209090.1	443254.Marpi_1240	2.92e-11	60.1	2EP6M@1|root,33GTC@2|Bacteria,2GDME@200918|Thermotogae	200918|Thermotogae	S	Protein of unknown function (DUF2922)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2922
WP_012209353.1	403833.Pmob_1554	7.13e-169	472.0	COG2188@1|root,COG2188@2|Bacteria,2GCM0@200918|Thermotogae	200918|Thermotogae	K	GntR family	-	-	-	ko:K03710	-	-	-	-	ko00000,ko03000	-	-	-	GntR,UTRA
WP_012209354.1	403833.Pmob_1555	1.6e-75	225.0	COG1942@1|root,COG1942@2|Bacteria,2GE80@200918|Thermotogae	200918|Thermotogae	S	Macrophage migration inhibitory factor (MIF)	-	-	-	-	-	-	-	-	-	-	-	-	MIF
WP_012209360.1	403833.Pmob_1565	1.96e-223	614.0	COG0535@1|root,COG0535@2|Bacteria	2|Bacteria	I	radical SAM domain protein	-	-	-	ko:K06871	-	-	-	-	ko00000	-	-	-	Fer4_12,Fer4_14,PqqD,Radical_SAM,SPASM
WP_012209362.1	403833.Pmob_1567	4.71e-239	656.0	COG2309@1|root,COG2309@2|Bacteria	2|Bacteria	E	aminopeptidase activity	-	-	-	ko:K19689	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	HTH_20,Peptidase_M29
WP_012209389.1	403833.Pmob_1596	0.0	917.0	COG1070@1|root,COG1070@2|Bacteria	2|Bacteria	G	xylulokinase activity	-	-	2.7.1.12,2.7.1.14,2.7.1.17,2.7.1.5	ko:K00848,ko:K00851,ko:K00854,ko:K11214	ko00030,ko00040,ko00051,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,map00030,map00040,map00051,map00710,map01100,map01110,map01120,map01130,map01200	M00014	R01639,R01737,R01844,R01902,R03014	RC00002,RC00017,RC00538,RC00608	ko00000,ko00001,ko00002,ko01000	-	-	-	FGGY_C,FGGY_N
WP_012209390.1	403833.Pmob_1599	3.75e-244	671.0	COG1609@1|root,COG1609@2|Bacteria,2GCRX@200918|Thermotogae	200918|Thermotogae	K	helix_turn _helix lactose operon repressor	-	-	-	ko:K02529	-	-	-	-	ko00000,ko03000	-	-	-	LacI,Peripla_BP_3
WP_012209391.1	403833.Pmob_1600	2.53e-240	661.0	COG1879@1|root,COG1879@2|Bacteria,2GD1Z@200918|Thermotogae	200918|Thermotogae	G	PFAM periplasmic binding protein LacI transcriptional regulator	-	-	-	ko:K10439	ko02010,ko02030,map02010,map02030	M00212	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.2.1,3.A.1.2.13,3.A.1.2.19	-	-	Peripla_BP_4
WP_012209393.1	403833.Pmob_1602	1.4e-212	588.0	COG1172@1|root,COG1172@2|Bacteria,2GCVY@200918|Thermotogae	200918|Thermotogae	G	Belongs to the binding-protein-dependent transport system permease family	-	-	-	ko:K10440	ko02010,map02010	M00212	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.2.1,3.A.1.2.13,3.A.1.2.19	-	-	BPD_transp_2
WP_012209394.1	403833.Pmob_1603	4.67e-95	277.0	COG4154@1|root,COG4154@2|Bacteria,2GE4V@200918|Thermotogae	200918|Thermotogae	G	RbsD / FucU transport protein family	-	-	5.1.3.29	ko:K02431	-	-	R10764	RC00563	ko00000,ko01000	-	-	-	RbsD_FucU
WP_012209395.1	403833.Pmob_1604	3.43e-154	432.0	COG0176@1|root,COG0176@2|Bacteria,2GD0T@200918|Thermotogae	200918|Thermotogae	H	PFAM Transaldolase	-	-	-	-	-	-	-	-	-	-	-	-	TAL_FSA
WP_012209396.1	403833.Pmob_1605	1.55e-208	579.0	COG0679@1|root,COG0679@2|Bacteria	2|Bacteria	S	auxin-activated signaling pathway	-	-	-	ko:K07088	-	-	-	-	ko00000	-	-	-	Mem_trans
WP_012209397.1	403833.Pmob_1606	2.89e-222	612.0	COG1609@1|root,COG1609@2|Bacteria	2|Bacteria	K	purine nucleotide biosynthetic process	cytR	-	-	ko:K02529,ko:K05499	-	-	-	-	ko00000,ko03000	-	-	-	LacI,Peripla_BP_1,Peripla_BP_3
WP_012209400.1	403833.Pmob_1609	0.0	1036.0	COG1070@1|root,COG1070@2|Bacteria,2GCEX@200918|Thermotogae	200918|Thermotogae	G	Belongs to the FGGY kinase family	-	-	2.7.1.17	ko:K00854	ko00040,ko01100,map00040,map01100	M00014	R01639	RC00002,RC00538	ko00000,ko00001,ko00002,ko01000	-	-	-	FGGY_C,FGGY_N
WP_012209465.1	403833.Pmob_1674	6.11e-68	205.0	COG2151@1|root,COG2151@2|Bacteria,2GDA3@200918|Thermotogae	200918|Thermotogae	S	metal-sulfur cluster biosynthetic	-	-	-	-	-	-	-	-	-	-	-	-	FeS_assembly_P
WP_012209660.1	403833.Pmob_1876	1.21e-58	181.0	COG1343@1|root,COG1343@2|Bacteria,2GDIY@200918|Thermotogae	200918|Thermotogae	L	CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain sequences complementary to antecedent mobile elements and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). Functions as a ssRNA-specific endoribonuclease. Involved in the integration of spacer DNA into the CRISPR cassette	cas2	-	-	ko:K09951	-	-	-	-	ko00000,ko02048	-	-	-	CRISPR_Cas2
WP_012209694.1	403833.Pmob_1910	7.36e-55	171.0	COG0776@1|root,COG0776@2|Bacteria,2GDFH@200918|Thermotogae	200918|Thermotogae	L	Histone-like DNA-binding protein which is capable of wrapping DNA to stabilize it, and thus to prevent its denaturation under extreme environmental conditions	-	GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0008150,GO:0009889,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0044424,GO:0044444,GO:0044464,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:1901363,GO:1903506,GO:2001141	-	ko:K03530	-	-	-	-	ko00000,ko03032,ko03036,ko03400	-	-	-	Bac_DNA_binding
WP_041534021.1	403833.Pmob_0421	4.68e-211	584.0	COG3593@1|root,COG3593@2|Bacteria	2|Bacteria	L	DNA synthesis involved in DNA repair	-	-	-	ko:K07459	-	-	-	-	ko00000	-	-	-	AAA_15,AAA_21
WP_041534033.1	403833.Pmob_0637	0.0	953.0	COG1129@1|root,COG1129@2|Bacteria	2|Bacteria	G	ABC transporter	mglA_3	-	3.6.3.17	ko:K02056,ko:K10441	ko02010,map02010	M00212,M00221	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.2,3.A.1.2.1,3.A.1.2.13,3.A.1.2.19	-	-	ABC_tran
WP_041534034.1	403833.Pmob_0639	1.26e-244	673.0	COG0182@1|root,COG0182@2|Bacteria,2GCAP@200918|Thermotogae	2|Bacteria	J	Catalyzes the interconversion of methylthioribose-1- phosphate (MTR-1-P) into methylthioribulose-1-phosphate (MTRu-1- P)	mtnA	-	5.3.1.23	ko:K08963	ko00270,ko01100,map00270,map01100	M00034	R04420	RC01151	ko00000,ko00001,ko00002,ko01000	-	-	-	IF-2B
WP_041534061.1	403833.Pmob_0896	3.05e-34	118.0	COG2212@1|root,COG2212@2|Bacteria,2GDF5@200918|Thermotogae	200918|Thermotogae	P	PFAM multiple resistance and pH regulation protein F	-	-	-	ko:K05570	-	-	-	-	ko00000,ko02000	2.A.63.1,2.A.63.2	-	-	MrpF_PhaF
WP_041534130.1	403833.Pmob_1566	0.0	877.0	COG0308@1|root,COG0308@2|Bacteria	2|Bacteria	E	peptide catabolic process	-	-	3.4.11.2	ko:K01256	ko00480,ko01100,map00480,map01100	-	R00899,R04951	RC00096,RC00141	ko00000,ko00001,ko01000,ko01002	-	-	-	DUF2268,Peptidase_M1
WP_041534131.1	403833.Pmob_1059	2.2e-32	113.0	COG1547@1|root,COG1547@2|Bacteria	2|Bacteria	S	Domain of unknown function (DUF309)	-	-	-	ko:K09763	-	-	-	-	ko00000	-	-	-	DUF309
WP_059031384.1	1089553.Tph_c23000	6.91e-45	145.0	2EKS5@1|root,33EFX@2|Bacteria,1VKU4@1239|Firmicutes,24V0P@186801|Clostridia,42GVB@68295|Thermoanaerobacterales	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_081429255.1	403833.Pmob_1184	4.82e-101	292.0	COG2801@1|root,COG2801@2|Bacteria,2GCT7@200918|Thermotogae	200918|Thermotogae	L	PFAM Integrase catalytic region	-	-	-	-	-	-	-	-	-	-	-	-	HTH_21,rve
